Event ID,Station-Unit,Start Date,Cause Code Name,IsRepeat,TimeBetweenFailure
147818,Gibson Steam-4,12/19/07 14:36,First reheater A,FALSE,
147819,Gibson Steam-4,12/19/07 16:24,First reheater A,TRUE,1.8
147820,Gibson Steam-4,12/22/07 7:19,First reheater A,TRUE,62.91666667
147879,Gibson Steam-1,12/31/07 15:42,Second superheater B,FALSE,
147880,Gibson Steam-1,12/31/07 17:07,Second superheater B,TRUE,1.416666667
148154,Gallagher Steam-2,12/20/07 10:27,First reheater A,FALSE,
148203,Gallagher Steam-4,12/21/07 4:23,Second superheater B,FALSE,
149595,Marshall Steam-4,1/9/08 11:53,Waterwall (Furnace wall) A,TRUE,3105.883333
151360,Gibson Steam-1,1/1/08 0:00,Second superheater B,TRUE,6.883333333
151361,Gibson Steam-1,1/2/08 19:53,Second superheater B,TRUE,43.88333333
151544,Gibson Steam-5,1/14/08 18:17,First reheater A,TRUE,1579.366667
151545,Gibson Steam-5,1/14/08 22:05,First reheater A,TRUE,3.8
151546,Gibson Steam-5,1/16/08 0:54,First reheater A,TRUE,26.81666667
151562,Marshall Steam-3,1/18/08 12:36,Second superheater B,FALSE,
151919,Gallagher Steam-2,1/27/08 12:52,Second superheater B,FALSE,
151956,Allen Steam-3,1/21/08 15:13,Generating tubes A,FALSE,
152662,Gibson Steam-2,2/1/08 0:34,Waterwall (Furnace wall) A,FALSE,
152663,Gibson Steam-2,2/1/08 4:42,Waterwall (Furnace wall) A,TRUE,4.133333333
152664,Gibson Steam-2,2/2/08 20:14,Waterwall (Furnace wall) A,TRUE,39.53333333
152703,Gibson Steam-3,2/17/08 16:00,Platen superheater,FALSE,
152704,Gibson Steam-3,2/17/08 18:26,Platen superheater,TRUE,2.433333333
153027,Gibson Steam-3,2/19/08 6:19,Platen superheater,TRUE,35.88333333
153096,Cayuga Steam-1,2/20/08 11:16,Platen superheater,FALSE,
154077,Marshall Steam-3,3/10/08 12:27,Waterwall (Furnace wall) A,FALSE,
154081,Marshall Steam-4,3/12/08 11:54,Waterwall (Furnace wall) A,TRUE,1512.016667
154394,Belews Creek Steam-2,3/24/08 14:16,Economizer B,FALSE,
155469,Belews Creek Steam-1,4/1/08 16:30,Waterwall (Furnace wall) A,FALSE,
155657,Marshall Steam-2,4/26/08 16:00,Waterwall (Furnace wall) A,TRUE,5656.016667
155997,East Bend Steam-2,4/3/08 0:54,Second superheater B,TRUE,3351.9
156818,Marshall Steam-3,5/10/08 1:16,Waterwall (Furnace wall) A,TRUE,1452.816667
156870,Marshall Steam-2,5/18/08 15:06,Waterwall (Furnace wall) A,TRUE,527.1
156873,Marshall Steam-4,5/17/08 12:08,Waterwall (Furnace wall) A,TRUE,1584.233333
156886,Gibson Steam-5,5/18/08 12:11,First reheater A,TRUE,2963.283333
156887,Gibson Steam-5,5/18/08 14:15,First reheater A,TRUE,2.066666667
157001,Belews Creek Steam-2,5/16/08 2:47,Waterwall (Furnace wall) A,FALSE,
157031,James E. Rogers Energy Complex-5,5/25/08 23:09,Waterwall (Furnace wall) A,FALSE,
157032,James E. Rogers Energy Complex-5,5/26/08 16:00,Second reheater B,FALSE,
157080,Gibson Steam-5,5/21/08 11:49,First reheater A,TRUE,69.56666667
157086,Gibson Steam-5,5/27/08 21:36,First reheater A,TRUE,153.7833333
157087,Gibson Steam-5,5/28/08 0:59,First reheater A,TRUE,3.383333333
157088,Gibson Steam-5,5/29/08 7:48,First reheater A,TRUE,30.81666667
158621,Marshall Steam-4,6/11/08 23:31,Waterwall (Furnace wall) A,TRUE,611.3833333
158778,Gibson Steam-2,6/5/08 22:18,First reheater A,FALSE,
158779,Gibson Steam-2,6/6/08 1:46,First reheater A,TRUE,3.466666667
158780,Gibson Steam-2,6/8/08 13:44,First reheater A,TRUE,59.96666667
158932,Belews Creek Steam-1,6/26/08 3:02,First superheater B,FALSE,
158951,Marshall Steam-2,6/24/08 21:39,Waterwall (Furnace wall) A,TRUE,894.55
159241,Cayuga Steam-2,6/5/08 10:26,First superheater B,FALSE,
159929,Belews Creek Steam-2,7/8/08 2:45,First reheater A,FALSE,
161096,Belews Creek Steam-2,7/25/08 16:23,First reheater A,TRUE,421.6333333
161138,Allen Steam-2,7/1/08 17:38,Waterwall (Furnace wall) A,TRUE,15296.95
161140,Allen Steam-2,7/21/08 8:53,Waterwall (Furnace wall) A,TRUE,471.25
163245,Gibson Steam-1,8/16/08 12:04,First reheater A,FALSE,
163246,Gibson Steam-1,8/16/08 17:05,First reheater A,TRUE,5.016666667
163247,Gibson Steam-1,8/18/08 11:20,First reheater A,TRUE,42.25
163273,Gibson Steam-4,8/20/08 21:21,Waterwall (Furnace wall) A,FALSE,
163274,Gibson Steam-4,8/21/08 0:50,Waterwall (Furnace wall) A,TRUE,3.483333333
