,slug,nominal,min_t,max_t,tubes_inspected,bins_collected,critical_tubes,critical_bins
318,20200309-8dbafb,0.0,24.363332748413086,139.82998657226562,117,4857,0,0
319,20200308-dbbf9f,0.25,0.10640666633844376,0.36296001076698303,139,116432,63,424
320,20200308-297e16,0.25,0.15966999530792236,0.3734000027179718,141,3888,1,1
321,20200308-fd1eb5,0.25,0.2849999964237213,0.3630000054836273,107,214,0,0
322,20200308-ed9202,0.25,0.17678000032901764,0.40007999539375305,190,15369,0,0
323,20200218-9fb54f,0.22,0.16498667001724243,0.41951000690460205,283,19935,0,0
324,20200218-823dc7,0.22,0.16053999960422516,0.3490400016307831,261,6173,0,0
325,20200209-90ecbb,0.28,0.1839333325624466,0.636430025100708,140,113751,5,11
326,20200209-0a015b,0.28,0.26146000623703003,0.37736332416534424,138,1352,0,0
327,20200209-7cc50d,0.28,0.24199999868869781,0.39500001072883606,110,220,0,0
328,20200107-ed0eb2,0.3,0.126826673746109,0.2946400046348572,8,1000,8,532
329,20191227-581e28,0.28,0.12835000455379486,0.35499998927116394,140,92005,48,820
330,20191227-79f87d,0.28,0.11646000295877457,0.3597699999809265,142,5298,5,12
331,20191227-e83248,0.28,0.23800000548362732,0.3779999911785126,100,200,0,0
332,20191206-d4c842,0.28,0.0,0.5694400072097778,43,4407,35,281
333,20191120-0b0bfd,0.188,0.11413999646902084,0.21563999354839325,406,7694,19,33
334,20191120-bdefec,0.188,0.12863999605178833,0.2151566594839096,293,6147,2,2
335,20191108-3ed973,5.588,2.6339797973632812,6.248230457305908,71,4842,17,95
336,20191108-c1c40d,5.08,0.0,0.22949391106764475,18,1924,18,1924
337,20191108-739b05,5.56,0.19309338927268982,0.24405823647975922,17,1221,17,1221
338,20191105-d67eab,0.195,0.131,0.18,30,316,2,2
339,20191105-57f678,0.195,0.136,0.179,25,291,1,1
340,20191029-a3c2f0,0.24,0.18780000507831573,0.3014799952507019,162,2030,0,0
341,20191029-6b9000,0.24,0.14033666666666667,0.30582999999999994,41,2591,18,53
342,20191029-ef66f9,0.24,0.11394666880369186,0.34352999925613403,165,17323,51,134
343,20191023-16251f,0.22,0.11993999779224396,0.2994152009487152,656,41832,95,157
344,20191023-8a4efe,0.24,0.13008999824523926,0.3388899862766266,171,17519,14,24
345,20191023-7458f7,0.24,0.19765999913215637,0.3446899950504303,113,910,0,0
346,20191023-2954cf,0.24,0.18780000507831573,0.2873666783173879,170,1976,0,0
347,20191024-bc2166,0.24,0.11558999866247177,0.26987001299858093,82,4887,34,154
348,20191025-66237d,0.22,0.12342000007629395,0.3794899880886078,656,150289,197,681
349,20191028-38d766,0.281,0.21699333687623343,0.32859501242637634,204,27160,0,0
350,20191021-9c7f4b,0.24,0.05990999937057495,0.26987001299858093,255,14341,242,4576
351,20191014-d02213,0.24,0.17417000234127045,0.30379998683929443,243,70706,0,0
352,20191014-e4ffb4,0.24,0.08954248577356339,0.27044999599456787,243,12588,79,377
353,20191014-e080b6,0.237,0.0430000014603138,0.3869333366552989,464,94381,413,2470
354,20191014-cb7afc,0.237,0.06222999840974808,0.27044999599456787,378,18237,249,1842
355,20191013-7e72e1,0.24,0.09419869631528854,0.2780701667070389,420,20089,53,183
356,20191013-76e6d9,0.24,0.1982399970293045,0.2759599983692169,26,9051,0,0
357,20191008-6407c4,0.21,0.11675000190734863,0.24199999868869781,586,46610,63,146
358,20191008-6ee89d,0.21,0.10599999874830246,0.26499998569488525,27,13946,11,21
359,20191008-734139,0.22,0.0857200026512146,0.376010000705719,656,143676,233,1427
360,20191007-7740c8,0.22,0.12370999902486801,0.27799999713897705,656,42283,71,131
361,20191008-ea213c,0.281,0.21419000625610352,0.3380200117826462,201,23925,0,0
362,20191008-acc7f3,0.22,0.1550000011920929,0.42399999499320984,654,8979,0,0
363,20190923-b6fbd7,0.22,0.12640231847763062,0.25810617208480835,247,46358,40,87
364,20190924-87d0f8,0.188,0.10493230074644089,0.2502935379743576,283,11483,7,10
365,20190920-f6a1e7,0.188,0.14368764559427896,0.24699999392032623,255,14511,0,0
366,20190920-fd27a8,0.188,0.12363238632678986,0.269298255443573,255,64461,12,20
367,20190909-681391,0.203,0.1043923869729042,0.3667638450860977,107,34754,68,421
368,20190909-98dddb,0.203,0.07199999690055847,0.22200000286102295,107,3238,78,168
369,20190906-bae75b,0.188,0.09239000082015991,0.2295600026845932,255,61963,66,510
370,20190906-13ce98,0.188,0.17774666349093118,0.22984999418258667,250,13397,0,0
371,20190905-586293,0.203,0.13961848616600037,0.23284989595413208,143,7575,1,1
372,20190823-401c67,0.203,0.4076200028260549,0.49751999974250793,84,756,0,0
373,20190823-cd5cfb,0.203,0.17069000005722046,0.4774133364359538,95,13662,0,0
374,20190820-e61a1f,0.203,0.17,0.201,4,47,0,0
375,20190728-1e1c04,0.206,0.09233999997377396,0.2770000100135803,275,69008,80,275
376,20190607-269711,0.28,0.11829999834299088,0.3190000057220459,158,32593,48,139
377,20190607-db1837,0.28,0.12759999930858612,0.3492000102996826,158,32131,44,261
378,20190513-602dc6,0.229,0.12099999934434891,0.25999999046325684,173,14739,7,9
379,20190515-7630f1,0.229,0.1420000046491623,0.2626666724681854,169,5754,1,1
380,20190508-bc9ac3,0.222,0.12566666305065155,0.289000004529953,308,83805,150,788
