Customer.name,Location.name,Location.city,Unit.name,Unit.slug,Component.slug,Inspection.slug,Component.wall_nominal_thickness,Component.wall_warning_thickness,Component.coating_nominal_thickness
Santee Cooper,Winyah,Georgetown,Unit 2 Boiler,unit-2-boiler-0cedf7,lower-slopes-e28651,20210518-f4a160,0.2,0.16,0
Southern Co,Plant Bowen,Cartersville,Unit 2,unit-2-d6bb3f,waterwalls-ba5c41,20210515-b373e7,0.268,0.17,0
Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 1 Demo,unit-1-demo-256efe,test-tubes-5a1089,20210513-8ae84a,,,
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,waterwalls-6eb5a8,20210505-1c1b79,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,superheater-elements-a7998c,20210505-bd88db,0.17,0.13,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,evaporator-panels-a78ec1,20210505-fdcc45,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,boiler-roof-37d942,20210505-639983,0.26,0.234,0
Great River Energy,Spiritwood,Spiritwood,Economizer,economizer-580e61,section-2-roof-858b67,20210501-080ae4,0.165,0.1,
Great River Energy,Spiritwood,Spiritwood,Economizer,economizer-580e61,section-4-e9426f,20210430-4ccf9c,0.165,0.0825,
Great River Energy,Spiritwood,Spiritwood,Economizer,economizer-580e61,section-5-5801da,20210428-a4f87a,0.165,0.0825,
Drax,Drax Power Station,"Drax, Selby",Unit 3,unit-3-67c2d7,waterwalls-2d58c6,20230727-05e4b6,4.5,4,
Great River Energy,Spiritwood,Spiritwood,Economizer,economizer-580e61,section-1-roof-a9df99,20210429-e29238,0.165,0.1,
NRG,Seward Power Station,New Florence,Boiler 2,unit-2-boiler-0bea2c,waterwalls-mi-b9aef1,20210414-a2c6f3,0.26,0.2,
NRG,Seward Power Station,New Florence,Boiler 2,unit-2-boiler-0bea2c,waterwalls-ut-3a09ac,20210414-61ad93,0.26,0.18,
NRG,Seward Power Station,New Florence,Boiler 2,unit-2-boiler-0bea2c,roof-1f41c4,20210414-1240e0,0.26,0.18,
NRG,Seward Power Station,New Florence,Boiler 2,unit-2-boiler-0bea2c,evaporator-panels-8c221c,20210414-686667,0.17,0.135,
NRG,Seward Power Station,New Florence,Boiler 2,unit-2-boiler-0bea2c,sspp-panels-5575bb,20210414-ba500b,0.26,0.18,
Southern Co,Plant Bowen,Cartersville,Unit 3,unit-3-2ec131,waterwalls-4cc190,20210413-7a4b55,0.238,0.17,0
Southern Co,Greene County Steam Plant,Forkland,Unit 2,unit-2-f0ccaf,waterwalls-dffeab,20210413-7cf595,0.26,0.2,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bundle-3-panel-1-10-094ad7,20210409-1884c7,0.195,0.125,
Vistra Luminant Energy,Oak Grove Generating Station,Franklin,Unit 1,unit-1-7453ff,rear-slope-ae9392,20210409-3d4d44,0.22,0.12,
Vistra Luminant Energy,Oak Grove Generating Station,Franklin,Unit 1,unit-1-7453ff,upper-arch-c4b34d,20210409-9beac7,0.22,0.12,
NRG,Seward Power Station,New Florence,Boiler 1,boiler-1-ef6b14,waterwalls-b7fe8a,20210408-26cf61,0.26,0.2,
NRG,Seward Power Station,New Florence,Boiler 1,boiler-1-ef6b14,waterwalls-b6b0d3,20210408-ae965d,0.26,0.2,
GS EPS,Dangjin,Korea,Unit #1,unit-1-8cf440,waterwalls-992242,20210707-4243d1,6.096,3.2,
Rio Tinto,Kennecott Utah Copper,Jordan,FS Waste Heat Boiler,fs-waste-heat-boiler-341404,boiler-roof-f2b287,20210407-622841,0.22,0.16,
Tucson Electric Power,TEP - Sundt Station,Tucson,Unit 3,unit-3-bc5106,waterwalls-adbcec,20210329-9559f2,0.24,0.16,
Vistra Luminant Energy,Oak Grove Generating Station,Franklin,Unit 2,unit-2-6d0317,upper-arch-95b681,20210325-a8e1e8,0.2,0.18,
Vistra Luminant Energy,Oak Grove Generating Station,Franklin,Unit 2,unit-2-6d0317,lower-slopes-dde242,20210322-11e03a,0.012,0.16,0.012
Ameren,Ameren - Labadie Power Station,Labadie,Unit 4,unit-4-lower-slopes-298f47,lower-slopes-d0837e,20210316-fd44d7,,0.26,
Ameren,Ameren - Labadie Power Station,Labadie,Unit 4,unit-4-lower-slopes-298f47,rear-lower-slope-c6daaa,20210316-331a7e,,200,
Arizona G&T Cooperatives,Arizona G&T Coop - Apache Station,Cochise,Unit 2,unit-2-99a630,waterwalls-fe80b2,20210310-d9557f,0.28,0.2,
DTE Energy,DTE - Mt. Poso Cogeneration,Bakersfield,Unit 1,unit-1-80b8a9,waterwalls-bd83ec,20210302-1bd822,0.24,0.2,0
DTE Energy,DTE - Mt. Poso Cogeneration,Bakersfield,Unit 1,unit-1-80b8a9,waterwalls-mi-90fdf5,20210302-ca97f2,,,0.1
NRG,Arthur Kill,Staten Island,Superheat Unit,superheat-unit-823dc9,waterwalls-f12287,20210216-6c6138,0.26,0.23,0
NRG,Arthur Kill,Staten Island,Reheat Unit,reheat-unit-bfb08b,waterwalls-2e24e8,20210216-44d443,0.26,0.18,0
NRG,Arthur Kill,Staten Island,Reheat Unit,reheat-unit-bfb08b,lower-slopes-bdcc65,20210216-7d9bfa,0.26,0.18,0
NRG,Arthur Kill,Staten Island,Superheat Unit,superheat-unit-823dc9,lower-slopes-8a3a4a,20210216-93bec7,0.26,0.21,0
Hidrogen Enerji - Soma Kolin,Hidrogen Enerji - Soma Kolin,TÃ¼rkpiyala,CFB 2,cfb-2-f03951,waterwalls-b6b964,20210120-880852,6.604,3,
Tucson Electric Power,TEP - Sundt Station,Tucson,Unit 4,unit-4-dee39b,waterwalls-ea13aa,20210125-0b2c94,0.205,0.16,
Tucson Electric Power,TEP - Sundt Station,Tucson,Unit 4,unit-4-dee39b,lower-arch-12cc50,20210125-69c439,0.205,0.16,
Hidrogen Enerji - Soma Kolin,Hidrogen Enerji - Soma Kolin,TÃ¼rkpiyala,CFB 1,cfb-1-9a84a7,waterwalls-63ffe7,20210120-784d1a,6.604,3,
GS EPS,Dangjin,Korea,Unit #1,unit-1-8cf440,waterwalls-992242,20210105-7be806,6.096,3.2,
Southern Co,Plant Barry,Bucks,Unit 5,unit-5-e32a1e,waterwalls-3d1024,20201216-6791a7,0.238,0.15,
NRG,W.A Parish Station,Thompsons,Unit 1,unit-1-c96e0f,waterwalls-b65fe2,20201215-d0d1d7,0.28,0.22,
Ravenswood Generating Station,Ravenswood Generating Station,Queens,Unit 10,unit-10-1e903f,front-wall-ca1225,20201212-d850ff,0.238,0.15,
Southern Co,Plant Gaston,Wilsonville,Unit 5,unit-5-8632ca,waterwalls-e60154,20201122-627ca9,0.238,0.166,0
GS EPS,Dangjin,Korea,Unit #2,unit-2-72d1be,watewalls-1974de,20201116-a705e6,8.128,4,
Dominion,Mt. Storm,Mt. Storm,Unit 2,unit-2-348d07,lower-slope-front-2588cd,20201116-84076b,,,
Dominion,Mt. Storm,Mt. Storm,Unit 2,unit-2-348d07,lower-slope-rear-ec3e00,20201116-46d9db,,,
Greenleaf Power,Desert View Power,Mecca,CFB 2,cfb-2-532d0d,waterwalls-59025a,20201111-9b8b39,0.2,180,
LG&E,Mill Creek,Lousiville,Unit 4,unit-4-410c39,waterwalls-sidewalls-022008,20201111-ba8322,,,
AES,Alamitos,Long Beach,Unit 4,unit-4-f92a83,waterwalls-89ed80,20201110-5b37fd,,,
AES,Alamitos,Long Beach,Unit 4,unit-4-f92a83,division-wall-4eca7c,20201110-50c594,,,
AES,Alamitos,Long Beach,Unit 3,unit-3-768d7d,waterwalls-bfc123,20201106-afc7e0,,,
AES,Alamitos,Long Beach,Unit 3,unit-3-768d7d,division-wall-4b5a3f,20201106-40276d,,,
Greenleaf Power,Desert View Power,Mecca,CFB 1,cfb-1-12ae53,waterwalls-3d9627,20201104-c5ea51,0.2,0.16,
AES,Redondo Beach,Redondo Beach,Unit 5,unit-5-03e8e6,waterwalls-135bd7,20201103-ed9b7e,0.28,0.2,0
AMBIT,Grant Town Power Plant,Grant Town,Unit A,boiler-a-99f927,waterwalls-9acc54,20201102-3e6dbb,0.256,0.2,0
AMBIT,Grant Town Power Plant,Grant Town,Unit A,boiler-a-99f927,roof-f31c82,20201102-c9255d,0.256,0.2,0
AES,Huntington Beach,Huntington Beach,Unit 2,unit-2-389961,waterwalls-aa77e4,20201030-f78847,,,
AMBIT,Grant Town Power Plant,Grant Town,Unit B,unit-b-a1005a,roof-3b8741,20201026-1dd557,0.256,0.18,
AMBIT,Grant Town Power Plant,Grant Town,Unit B,unit-b-a1005a,waterwalls-24d1c8,20201026-9a36ee,0.256,0.18,
ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,boiler-2-386985,waterwall-635ade,20201019-3e1ae4,0.24,0.1,0
ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,boiler-2-386985,division-wall-becbd7,20201019-643168,0.24,0.19,0
ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,boiler-2-386985,bullnose-914e8e,20201019-d3fff3,0.28,0.192,0
ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,boiler-2-386985,rear-lower-slope-87897e,20201019-4cf54b,0.24,0.18,0
Cardinal,Cardinal Power Plant,"Brilliant, OH",Unit 3,unit-3-54779f,waterwalls-b94b37,20201016-b04e5f,0.23,0.18,0
Cardinal,Cardinal Power Plant,"Brilliant, OH",Unit 3,unit-3-54779f,lower-slopes-1f0468,20201016-c07763,0.23,0.18,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,waterwalls-6eb75a,20201014-4106ff,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,superheater-elements-aa1f0e,20201014-cb5238,0.17,0.1485,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,evaporator-panels-0b33af,20201014-6cf8e1,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,boiler-roof-039fca,20201014-8de5fd,0.3,0.234,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,wingwalls-2bcf71,20201013-ce9b1a,0.21,0.15,0
Pacificorp,Wyodak Power Station,Gillette,U1 Boiler,u1-boiler-10231f,slopes-84e605,20201013-6b5e5b,0.203,0.18,0
Dominion,Clover Power Plant,Clover,Unit 1,unit-1-6db4d8,rear-wall-ec6ee0,20201012-20110d,0.18,0.13,0
Santee Cooper,Winyah,Georgetown,Unit 1 Boiler,unit-2-6821e3,waterwalls-5062e6,20201010-6a53ad,0.25,0.18,0
Santee Cooper,Winyah,Georgetown,Unit 1 Boiler,unit-2-6821e3,lower-slopes-0b5e8f,20201010-738ac6,0.26,0.18,0
Santee Cooper,Winyah,Georgetown,Unit 1 Boiler,unit-2-6821e3,lower-arch-ec98d4,20201010-42cc83,0.25,0.18,0
Santee Cooper,Winyah,Georgetown,Unit 1 Boiler,unit-2-6821e3,vertical-kickout-e72301,20201010-50b300,0.25,0.18,0
