,Customer.name,Location.name,Location.city,Unit.name,tubes_inspected,bins_collected,critical_tubes,critical_bins,tube_feet_inspected
98,Ameren,Ameren - Labadie Power Station,Labadie,Unit 4,559,20878,15,34,5219.5
99,Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 2,245,29025,16,27,7256.25
100,Greenleaf Power,Desert View Power,Mecca,CFB 2,80,10067,14,22,2516.75
101,Iowa State University,Iowa State University,Ames,Boiler 2,60,11956,7,21,2989.0
102,LG&E,Mill Creek,Lousiville,Unit 3,402,8837,4,21,2209.25
103,Southern Co,Plant Yates,Newnan,Unit 6,932,89035,12,20,22258.75
104,Santee Cooper,Winyah,Georgetown,Unit 2 Boiler,736,80859,20,20,20214.75
105,Lansing Board of Water and Light,Erickson Power Station,Lansing,Unit 1,311,31965,14,19,7991.25
106,First Energy,Harrison Power Station,Haywood,Demo Panel,18,201,9,18,50.25
107,ALCOA,Warrick Power Station,Newburgh,Tube Sample Demo,8,67,4,18,16.75
108,Vistra Luminant Energy,Joppa,Joppa,Unit 2,388,115323,5,11,28830.75
109,Hidrogen Enerji - Soma Kolin,Hidrogen Enerji - Soma Kolin,TÃ¼rkpiyala,CFB 1,289,54538,6,11,13634.5
110,AEP,Conesville,Conesville,Unit 6,176,21714,5,10,5428.5
111,AES,Plant Itabo,Santo Domingo,PC Boiler,342,20493,8,10,5123.25
112,Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 1,242,19126,5,10,4781.5
113,Arizona G&T Cooperatives,Arizona G&T Coop - Apache Station,Cochise,Unit 2,143,13869,6,9,3467.25
114,Greenleaf Power,Desert View Power,Mecca,CFB 1,79,5013,8,9,1253.25
115,Consolidated Edison Company of New York (Corporate),CONED - East River Generating Station,New York,Unit 60,141,3745,7,9,936.25
116,Edenderry Power Plant,Edenderry Power Plant,Offaly,BFB Boiler,801,37588,4,8,9397.0
117,AES,Redondo Beach,Redondo Beach,Unit 5,547,23411,6,8,5852.75
118,Consolidated Edison Company of New York (Corporate),CONED - 74th Street,New York,Unit 120,165,70407,2,7,17601.75
119,NRG,W.A Parish Station,Thompsons,Unit 1,156,15828,4,7,3957.0
120,Sunflower Electric Power Corp,Garden City,Garden City,S2,96,12850,5,7,3212.5
121,NRG,Arthur Kill,Staten Island,Reheat Unit,312,23323,6,6,5830.75
122,American Crystal Sugar,Hillsboro,Hillsboro,Unit 2 - Economizer,56,1437,3,6,359.25
123,LG&E,Mill Creek,Lousiville,Unit 4,163,17272,2,5,4318.0
124,University of North Carolina (UNC),Chapel Hill,Chapel Hill,Boiler 7,263,14052,4,5,3513.0
125,Aboitiz,Therma Visayas (TVI),Toledo City,Unit 1,729,51480,3,4,12870.0
126,AES,Huntington Beach,Huntington Beach,Unit 2,237,42571,4,4,10642.75
127,Nebraska Public Power District,Sheldon Power Station,Hallam,Boiler 1,161,5905,4,4,1476.25
128,Sunflower Electric Power Corp,Dodge City,Hays,Unit FD4,233,5590,4,4,1397.5
129,Hidrogen Enerji - Soma Kolin,Hidrogen Enerji - Soma Kolin,TÃ¼rkpiyala,CFB 2,288,55175,1,3,13793.75
130,Lower Colorado River Authority,Sim Gideon,Bastrop,Unit 2,232,17058,2,3,4264.5
131,Olympus Power,Panther Creek,Nesquehoning,CFB Boiler,73,6294,2,3,1573.5
132,GS EPS,Dangjin,Korea,Unit #2,432,81853,2,2,20463.25
133,Dominion,Wateree Power Station,Eastover,Unit 1,412,27346,2,2,6836.5
134,Drax,Drax Power Station,"Drax, Selby",Unit 3,412,14933,2,2,3733.25
135,Evergy,Jeffrey Energy Center,Saint Marys,Unit 2,420,7093,1,2,1773.25
136,AES,Redondo Beach,Redondo Beach,Unit 6,237,9222,1,1,2305.5
137,Colorado Springs Utilities,Ray Nixon Power Station,Fountain,Unit 1,143,7575,1,1,1893.75
138,ALCOA,Alumar,Sao Luis,Unit 31,350,73016,0,0,18254.0
139,JEA,Northside Generating Station,Jacksonville,CFB Boiler NO2,793,65811,0,0,16452.75
140,AES,AES Gener - Electrica Angamos,Chile,Unit 2,967,57196,0,0,14299.0
141,AES,Ventanas,Pittsburgh,Unit 3,776,49186,0,0,12296.5
142,Vistra Luminant Energy,Graham,Graham,Unit 1,235,44004,0,0,11001.0
